"player_id","season","first_name","last_name","player_name.x","position","height_wo_shoes","height_wo_shoes_ft_in","height_w_shoes","height_w_shoes_ft_in","weight","wingspan","wingspan_ft_in","standing_reach","standing_reach_ft_in","body_fat_pct","hand_length","hand_width","standing_vertical_leap","max_vertical_leap","lane_agility_time","modified_lane_agility_time","three_quarter_sprint","bench_press","player_name.y","round_number","round_pick","overall_pick","draft_type","team_id","team_city","team_name","team_abbreviation","organization","organization_type","player_profile_flag"
202691,2011,"Klay","Thompson","Klay Thompson","SG",77.75,"6' 5.75''",79.25,"6' 7.25''",205.6,81,"6' 9''",103.5,"8' 7.5''",8,8.75,9.25,26.5,31.5,10.99,NA,3.24,5,"Klay Thompson",1,11,11,"Draft",1610612744,"Golden State","Warriors","GSW","Washington State","College/University",1
202692,2011,"Alec","Burks","Alec Burks","SG",77,"6' 5''",78,"6' 6''",192.6,82,"6' 10''",103.5,"8' 7.5''",5.1,9,8.25,29,36,10.96,NA,3.17,5,"Alec Burks",1,12,12,"Draft",1610612762,"Utah","Jazz","UTA","Colorado","College/University",1
202693,2011,"Markieff","Morris","Markieff Morris","PF",79.75,"6' 7.75''",81.25,"6' 9.25''",240.8,82.75,"6' 10.75''",106.5,"8' 10.5''",10.2,8.5,8.25,27,31.5,NA,NA,3.4,11,"Markieff Morris",1,13,13,"Draft",1610612756,"Phoenix","Suns","PHX","Kansas","College/University",1
202694,2011,"Marcus","Morris","Marcus Morris","PF-SF",79,"6' 7''",80.75,"6' 8.75''",229.6,82,"6' 10''",105.5,"8' 9.5''",8,8.25,8.5,29,33,NA,NA,3.15,11,"Marcus Morris Sr.",1,14,14,"Draft",1610612745,"Houston","Rockets","HOU","Kansas","College/University",1
202695,2011,"Kawhi","Leonard","Kawhi Leonard","SF",78,"6' 6''",79,"6' 7''",227.4,87,"7' 3''",106,"8' 10''",5.4,9.75,11.25,25.5,32,11.45,NA,3.15,3,"Kawhi Leonard",1,15,15,"Draft",1610612754,"Indiana","Pacers","IND","San Diego State","College/University",1
202696,2011,"Nikola","Vucevic","Nikola Vucevic","PF-C",82.25,"6' 10.25''",83.75,"6' 11.75''",259.8,88.5,"7' 4.5''",112.5,"9' 4.5''",6.1,9.25,10.25,23.5,25,12.02,NA,3.27,8,"Nikola Vucevic",1,16,16,"Draft",1610612755,"Philadelphia","76ers","PHI","Southern California","College/University",1
202697,2011,"Iman","Shumpert","Iman Shumpert","PG-SG",76.25,"6' 4.25''",77.5,"6' 5.5''",221.8,81.5,"6' 9.5''",99.5,"8' 3.5''",6.5,9,9,36.5,42,11.1,NA,3.18,18,"Iman Shumpert",1,17,17,"Draft",1610612752,"New York","Knicks","NYK","Georgia Tech","College/University",1
202698,2011,"Chris","Singleton","Chris Singleton","SF",79.75,"6' 7.75''",81,"6' 9''",230.2,85,"7' 1''",103.5,"8' 7.5''",7.4,9.25,10,30.5,37.5,11.33,NA,3.09,15,"Chris Singleton",1,18,18,"Draft",1610612764,"Washington","Wizards","WAS","Florida State","College/University",1
202699,2011,"Tobias","Harris","Tobias Harris","SF-PF",78.5,"6' 6.5''",79.75,"6' 7.75''",222.8,83,"6' 11''",103.5,"8' 7.5''",8.4,8.75,9,31.5,37.5,10.96,NA,3.17,12,"Tobias Harris",1,19,19,"Draft",1610612766,"Charlotte","Bobcats","CHA","Tennessee","College/University",1
202701,2011,"Nolan","Smith","Nolan Smith","PG",73.5,"6' 1.5''",75.5,"6' 3.5''",187.6,77.5,"6' 5.5''",99,"8' 3''",5.6,8.5,9.25,28.5,34,11.05,NA,3.17,9,"Nolan Smith",1,21,21,"Draft",1610612757,"Portland","Trail Blazers","POR","Duke","College/University",1
202702,2011,"Kenneth","Faried","Kenneth Faried","PF",78,"6' 6''",79.5,"6' 7.5''",224.6,84,"7' 0''",108,"9' 0''",6.3,8.5,10.25,30.5,35,11.35,NA,3.26,16,"Kenneth Faried",1,22,22,"Draft",1610612743,"Denver","Nuggets","DEN","Morehead State","College/University",1
202705,2011,"Marshon","Brooks","Marshon Brooks","SG",76.25,"6' 4.25''",77.25,"6' 5.25''",194.6,85,"7' 1''",101,"8' 5''",5.2,9,10.5,34,38.5,10.74,NA,3.09,5,"MarShon Brooks",1,25,25,"Draft",1610612738,"Boston","Celtics","BOS","Providence","College/University",1
202706,2011,"Jordan","Hamilton","Jordan Hamilton","SF",78.75,"6' 6.75''",80.5,"6' 8.5''",228.4,81.5,"6' 9.5''",104,"8' 8''",9.8,9,9.25,25,32,11.47,NA,3.3,7,"Jordan Hamilton",1,26,26,"Draft",1610612742,"Dallas","Mavericks","DAL","Texas","College/University",1
202707,2011,"JaJuan","Johnson","JaJuan Johnson","PF",81,"6' 9''",82,"6' 10''",219.8,86,"7' 2''",107.5,"8' 11.5''",7.5,9,10,33.5,38,11.21,NA,3.14,15,"JaJuan Johnson",1,27,27,"Draft",1610612751,"New Jersey","Nets","NJN","Purdue","College/University",1
202708,2011,"Norris","Cole","Norris Cole","PG",72.25,"6' 0.25''",73.75,"6' 1.75''",174.4,74.25,"6' 2.25''",95.5,"7' 11.5''",4.7,8.5,9.5,29.5,38.5,10.07,NA,3.22,11,"Norris Cole",1,28,28,"Draft",1610612741,"Chicago","Bulls","CHI","Cleveland State","College/University",1
202709,2011,"Cory","Joseph","Cory Joseph","PG",74,"6' 2''",75.25,"6' 3.25''",186.2,77.5,"6' 5.5''",99,"8' 3''",9.7,8.5,10.5,27.5,35,10.75,NA,3.27,5,"Cory Joseph",1,29,29,"Draft",1610612759,"San Antonio","Spurs","SAS","Texas","College/University",1
