"season","position","height_wo_shoes","weight","wingspan","standing_reach","max_vertical_leap","body_fat_pct","hand_length","hand_width","standing_vertical_leap","max_vertical_leap.1","lane_agility_time","three_quarter_sprint","bench_press"
2018,2,75.75,196.2,82.25,99.5,40,5.65,9,9.5,31.5,40,10.87,3.06,12
2019,4,78.5,230.4,86.5,106.5,NA,8.6,9,10.25,NA,NA,NA,NA,NA
2018,1,72.5,177.8,75,95.5,NA,5.35,8,9.25,NA,NA,NA,NA,NA
2018,4,81,215.4,88.75,109,32,5.55,9.25,9,26,32,11.48,3.34,12
2020,2,77.5,198.6,79.25,100.5,36.5,4.2,8.75,10,30.5,36.5,11.25,3.25,NA
2020,3,77.5,198.6,79.25,100.5,36.5,4.2,8.75,10,30.5,36.5,11.25,3.25,NA
2019,5,81,232.8,85.75,107,35.5,6.1,9.5,10.25,30.5,35.5,11.46,3.28,13
2019,2,76.75,204.6,79.75,101,38.5,4,9.5,9.25,32.5,38.5,11.51,3.3,6
2019,3,76.75,204.6,79.75,101,38.5,4,9.5,9.25,32.5,38.5,11.51,3.3,6
2022,1,75,195.6,77.75,99,35,4.4,8,9.5,26.5,35,10.46,3.26,NA
2020,4,80.25,249.6,84.25,106.5,33.5,8.4,9.25,11,30,33.5,11.26,3.25,NA
2020,5,80.25,249.6,84.25,106.5,33.5,8.4,9.25,11,30,33.5,11.26,3.25,NA
2023,1,74,197.8,79.25,98.5,33,NA,8.5,7.5,28.5,33,11.91,3.35,NA
2019,3,76.5,196.8,84.25,103.5,36.5,4.7,8.75,9.25,29.5,36.5,11.16,3.37,9
2019,4,76.5,196.8,84.25,103.5,36.5,4.7,8.75,9.25,29.5,36.5,11.16,3.37,9
2019,5,84.75,208,91,115.5,NA,7.1,9.25,9.5,NA,NA,NA,NA,NA
2019,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,3,78.5,207.8,84.5,105.5,NA,4.7,9,9,NA,NA,NA,NA,NA
2019,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,1,75.5,191.4,77,97.5,NA,4.3,7.75,9,NA,NA,NA,NA,NA
2019,2,77.25,194.2,81.5,100.5,NA,5,8.25,8.5,NA,NA,NA,NA,NA
2019,3,79.25,207.2,80.25,102,40.5,4.9,8.25,9.5,34,40.5,10.61,3.15,10
2019,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,4,82.25,218.6,87.5,110.5,34.5,5,9.25,10.5,27,34.5,11.74,3.37,5
2019,2,76.25,203.8,81.5,102,NA,5.9,8.5,8.75,NA,NA,NA,NA,NA
2019,2,76.5,192.4,75.25,100.5,NA,7.1,8,8.75,NA,NA,NA,NA,NA
2019,2,76.75,216.4,81.25,104,NA,5.6,8,9.25,NA,NA,NA,NA,NA
2019,2,76.5,NA,83,103,NA,NA,9,9,NA,NA,NA,NA,NA
2019,3,76.5,224.2,85.25,104.5,38.5,5.9,8.75,10,31,38.5,12.15,3.24,5
2019,3,79.25,209.6,85.75,106.5,37,4.6,9.25,9.25,30.5,37,10.88,3.38,9
2019,2,76,212.6,81,103,34,5.1,8.75,8.75,27,34,10.82,3.14,2
2019,4,79.75,208.4,84,107,37,3.6,9,9.75,30.5,37,11.09,3.27,4
2019,2,73.5,179,75.25,95,42.5,5,7.5,9.25,36,42.5,9.97,3.08,7
2019,3,77.75,220.8,81.25,102,36.5,6,8.75,9.5,31,36.5,11.06,3.36,13
2019,5,82,216.6,86.5,110,36.5,4.5,9.25,9.5,31.5,36.5,11.26,3.36,8
2019,4,81.25,237.6,86.5,110,36.5,5.9,9.25,9.25,32.5,36.5,11.61,3.25,5
2019,2,72.75,167.8,76.5,95.5,36.5,5.7,8,8.75,30.5,36.5,10.48,3.27,4
2019,2,74.5,235.4,85.25,103,34.5,8.4,9.5,9.75,26,34.5,11.34,3.34,10
2019,1,76.25,194.4,76,98,31.5,6.5,8.25,9.5,26,31.5,11.21,3.4,2
2019,2,79,205.2,82,103,36.5,5.8,8,8.5,30.5,36.5,10.52,3.26,NA
2019,4,80.75,256.2,87,109.5,35.5,5.1,9.25,10.75,28,35.5,11.21,3.25,6
2019,3,80.25,191.6,84.25,105.5,33.5,5.7,9,10,29.5,33.5,11.54,3.32,0
2019,2,75.25,202.4,79.25,98,38.5,6.1,8.25,8.5,32,38.5,10.76,3.23,2
2020,3,77.75,223,82.25,104,35,11.68,8.5,9.25,29,35,11.29,3.43,NA
2020,4,77.75,223,82.25,104,35,11.68,8.5,9.25,29,35,11.29,3.43,NA
2019,2,76.25,205.6,82.75,100.5,38.5,4.9,9,10,30.5,38.5,11.71,3.17,19
2019,3,78,254.4,87.75,103.5,38,6.3,9,9.5,33,38,11.63,3.3,18
2019,2,75.5,190.8,78.75,99.5,35.5,7.5,8.25,8.5,28,35.5,10.59,3.27,NA
2019,4,79.25,214,85,106,35.5,3.9,9,10.5,32.5,35.5,10.63,3.25,9
2019,4,81.5,227.2,82.5,107,38,5.6,8.5,9,27,38,11.01,3.27,7
2019,3,76,240.6,81.75,102.5,34,6.8,8.75,9,30,34,10.77,3.37,15
2019,1,69.5,172.4,74.25,93.5,40.5,6.6,8,9.75,30.5,40.5,10.76,3.07,5
2019,2,75,206.6,81,100,38,6.1,8.5,9,31,38,11.57,3.16,NA
2019,4,77.75,240.2,81.75,104.5,31.5,5.4,9,10.5,26,31.5,10.83,3.33,20
2019,3,78.25,195.8,82,104.5,37.5,4.6,8.25,9.5,29,37.5,10.7,3.3,8
2020,4,79.5,234,84.75,108.5,NA,6.7,9,10,NA,NA,NA,NA,NA
2020,1,76,187.4,80.75,100.5,NA,2.8,8.5,10,NA,NA,NA,NA,NA
2020,1,73.5,170,73.75,96,34,7.6,7.5,8.25,30,34,10.78,3.28,NA
2020,2,76.5,214,81.75,101.5,39.5,6.8,8,8.75,30.5,39.5,10.64,3.12,NA
2020,3,76.5,214,81.75,101.5,39.5,6.8,8,8.75,30.5,39.5,10.64,3.12,NA
2020,2,74.5,193.4,78,100.5,NA,3.4,8.75,9.75,NA,NA,NA,NA,NA
2020,4,81.25,224.6,86.25,110,NA,3.7,9.25,9.25,NA,NA,NA,NA,NA
2020,5,81.25,224.6,86.25,110,NA,3.7,9.25,9.25,NA,NA,NA,NA,NA
2020,4,78,212.8,85.25,105.5,43.5,5,8.5,9,37,43.5,11.35,3.17,NA
2020,3,76.75,229,79.5,101.5,NA,10.2,8.5,8.75,NA,NA,NA,NA,NA
2020,2,76.75,229,79.5,101.5,NA,10.2,8.5,8.75,NA,NA,NA,NA,NA
2020,5,79.25,243,88.75,108.5,NA,7.5,9,10.5,NA,NA,NA,NA,NA
